Comment,Designator,Footprint,LCSC Part #
1K,R6 R8,0805,C17513
1u,C4,0805,C28323
22n,C1 C2,0805,C1729
47p,C3,0805,C14857
100K,R1 R2 R3 R4 R7,0805,C149504
680K,R5,0805,C17797
BAV99,D1,SOT-23,C2500
UA741,U1,SOIC-8,C7111
