Designator,Mid X,Mid Y,Layer,Rotation
C1, 8.26,15.24,Top,90.0
C2, 8.26, 5.08,Top,270.0
C3,18.16, 4.32,Top,0.0
C4,19.05,15.24,Top,180.0
D1,10.16, 9.91,Top,270.0
R1,11.43,13.97,Top,180.0
R2,14.73,14.99,Top,90.0
R3,11.43, 6.35,Top,180.0
R4,14.73, 5.33,Top,90.0
R5,18.16, 6.35,Top,0.0
R6,11.43,16.00,Top,0.0
R7,11.43, 4.32,Top,0.0
R8,21.21, 5.33,Top,90.0
U1,17.78,10.16,Top,270.0
